id,profile_id,major_id,priority,criteria,is_passed,group_subject_id,is_early_passed
159776,100680,54,1,"",true,1,false
159791,100716,66,1,"",true,37,false
159735,100677,95,3,"",true,1,false
159050,100225,73,1,"",true,37,false
160885,100655,82,1,"",true,13,false
159773,100698,69,1,"",true,37,false
163675,96683,81,1,"",true,13,false
165495,100563,66,1,c4Bool,true,19,false
172540,100598,62,1,"",true,37,false
175176,96697,76,1,c1Bool,true,2,false
159678,100580,62,1,"",true,40,false
178345,100755,62,1,"",true,1,false
178885,96710,69,1,"",true,40,false
155607,96596,70,1,"",true,2,false
156341,96589,80,1,"",true,43,false
206043,96625,62,1,"",true,2,false
155237,96601,69,1,"",true,2,false
159785,100717,69,1,"",true,37,false
163408,96626,68,1,"",true,43,false
163823,100629,72,1,c4Bool,true,2,false
171617,100661,77,1,"",true,48,false
153852,96712,62,1,"",true,40,false
209084,100682,82,1,"",true,13,false
159816,100735,84,1,"",true,13,false
152940,96696,62,1,"",true,1,false
153123,96716,92,1,"",true,40,false
152973,96576,69,1,"",true,37,false
152958,96623,87,1,"",true,13,false
154192,96651,48,1,"",true,1,false
208326,96705,47,1,"",true,40,false
170577,96654,82,1,"",true,1,false
154162,96670,76,1,"",true,19,false
203893,96610,69,1,"",true,37,false
203210,96694,64,1,"",true,1,false
152876,96605,83,1,"",true,3,false
207413,96586,57,3,"",true,3,false
153080,96685,69,2,"",true,37,false
165956,96585,69,1,"",true,37,false
152996,96698,73,2,"",true,2,false
153283,96644,87,1,c4Bool,true,18,false
236980,138732,62,1,"",true,37,false
236627,138729,63,2,"",true,1,false
153027,96742,73,1,"",true,42,false
156036,96775,94,3,"",true,1,false
155714,96718,72,1,"",true,2,false
153078,96719,62,1,"",true,2,false
153116,96783,56,1,"",true,2,false
157481,96770,50,3,"",true,2,false
157492,96730,63,1,"",true,1,false
158303,96754,49,1,c1Bool,true,2,false
156765,96763,67,1,"",true,40,false
154541,96729,69,1,"",true,2,false
154494,96764,77,1,"",true,19,false
195872,96766,81,3,"",true,13,false
236630,138734,81,1,"",true,18,false
168611,96721,81,2,"",true,18,false
236644,138752,43,1,DHQGHN,true,1,false
236671,138750,86,1,"",true,13,false
236672,138754,82,1,"",true,1,false
236736,138745,82,1,"",true,18,false
152991,96735,75,2,"",true,2,false
153063,96774,60,1,"",true,1,false
158723,96725,50,3,"",true,2,false
237076,138971,69,1,"",true,2,false
237094,138676,44,1,"",true,1,false
236815,138818,71,1,DHQGHN,true,48,false
237145,138989,70,1,DHQGHN,true,40,false
237148,139000,62,1,"",true,1,false
237084,138973,69,3,"",true,43,false
236711,138778,44,1,"",true,1,false
237079,138805,76,1,"",true,19,false
169676,100783,61,1,"",true,37,false
236742,138781,56,1,"",true,3,false
236752,138774,64,1,"",true,2,false
237116,138992,62,1,DHQGHN,true,37,false
236835,138839,82,2,"",true,18,false
236851,138835,66,1,c4Bool,true,19,false
236853,138847,66,1,"",true,19,false
236884,97429,79,3,"",true,19,false
236992,138917,77,1,"",true,19,false
236996,138929,62,1,"",true,1,false
242842,138974,76,3,"",true,19,false
237010,138937,84,1,"",true,13,false
237070,138951,53,1,"",true,1,false
237151,139004,47,1,c4Bool,true,2,false
237097,138968,80,1,"",true,43,false
236764,101622,73,3,"",true,2,false
236720,138773,73,3,"",true,42,false
208074,100898,77,1,"",true,19,false
159943,100844,81,1,"",true,13,false
160584,100877,73,1,"",true,37,false
164521,100829,74,1,"",true,37,false
237138,138997,49,1,"",true,2,false
170269,100890,67,1,"",true,40,false
192095,100788,69,1,"",true,2,false
237135,138991,69,1,"",true,43,false
242954,139017,62,1,"",true,37,false
160673,100866,60,1,"",true,2,false
159997,100888,62,1,"",true,2,false
196668,100799,60,3,"",true,37,false
199830,100882,77,1,"",true,19,false
194139,100881,92,1,c4Bool,true,1,false
203060,100827,47,1,"",true,1,false
161660,100842,76,2,"",true,19,false
172130,100876,63,2,"",true,40,false
161627,100789,64,1,"",true,37,false
180816,100822,84,2,"",true,3,false
160436,100858,77,1,"",true,48,false
215856,100931,92,1,"",true,37,false
160036,100914,64,1,"",true,37,false
236868,138863,68,1,DHQGHN,true,43,false
160320,100861,49,1,"",true,1,false
164005,100849,77,2,"",true,19,false
236845,138845,72,1,"",true,42,false
160032,100911,69,1,"",true,43,false
236836,138844,72,1,c4Bool,true,42,false
236855,138849,49,1,"",true,2,false
240057,138872,62,1,"",true,1,false
236901,138838,60,1,"",true,37,false
237674,138820,57,2,"",true,3,false
245201,139015,69,2,"",true,43,false
160413,100930,62,1,"",true,37,false
163482,100802,62,1,"",true,37,false
180793,100803,77,2,"",true,37,false
163467,100870,86,1,c4Bool,true,13,false
236223,138459,85,1,"",true,3,false
160136,100987,67,1,c4Bool,true,37,false
160229,101017,81,1,"",true,13,false
160246,100982,68,1,"",true,37,false
160482,101165,72,1,"",true,2,false
160534,101172,81,1,"",true,13,false
160569,101211,68,1,"",true,37,false
224911,101092,69,2,"",true,43,false
160161,100994,52,1,"",true,2,false
183419,101057,62,1,"",true,2,false
195023,100957,80,1,"",true,43,false
215953,100947,76,1,"",true,19,false
196569,101031,76,3,"",true,19,false
198075,101170,47,1,DHBKHN,true,2,false
202169,101221,92,1,"",true,37,false
203805,100954,92,1,"",true,37,false
160408,101088,68,1,"",true,40,false
160365,101078,68,1,"",true,37,false
160097,100956,66,1,"",true,19,false
160129,100963,77,1,"",true,19,false
185973,101024,62,1,"",true,1,false
194225,101023,93,3,"",true,37,false
193308,101062,49,1,DHQGHN,true,1,false
237275,139025,79,3,"",true,19,false
237378,139045,81,1,"",true,2,false
237444,139057,63,1,"",true,37,false
237258,139042,73,1,"",true,42,false
245748,100942,56,1,"",true,3,false
160101,100955,71,1,"",true,48,false
160238,101013,92,1,"",true,37,false
160120,100936,92,1,"",true,2,false
180114,101040,82,1,"",true,40,false
161749,101186,77,1,"",true,48,false
160726,101139,64,1,"",true,2,false
162937,101182,56,1,"",true,1,false
160141,100980,69,1,"",true,2,false
160449,101131,92,1,"",true,2,false
207305,100989,73,1,"",true,42,false
160341,101077,72,1,"",true,37,false
160577,101217,92,1,"",true,1,false
208144,100975,47,1,"",true,1,false
175160,101206,69,2,"",true,43,false
175764,100953,71,1,"",true,2,false
213815,101278,69,2,"",true,2,false
160254,101020,62,3,"",true,2,false
233091,101122,69,1,"",true,43,false
232155,136864,60,2,"",true,1,false
237265,139049,60,1,"",true,11,false
237319,139082,58,1,"",true,1,false
237302,139067,86,1,"",true,13,false
237247,139043,49,1,"",true,1,false
250599,101258,44,1,"",true,1,false
160250,101041,45,1,"",true,1,false
160349,101049,46,2,"",true,2,false
160314,101053,66,1,c1Bool,true,19,false
160361,101082,49,1,"",true,40,false
160433,101120,92,1,"",true,1,false
160440,101099,77,1,"",true,19,false
162219,101243,92,2,"",true,40,false
160855,101101,76,2,"",true,37,false
170154,101202,68,1,"",true,43,false
160192,101000,77,1,"",true,19,false
181870,101025,63,1,"",true,1,false
187505,101210,80,1,"",true,1,false
160579,101214,57,2,"",true,1,false
188158,101132,77,1,"",true,19,false
202082,101138,62,1,"",true,2,false
213381,100937,81,1,"",true,18,false
237270,139048,62,1,"",true,1,false
237239,139024,49,1,"",true,1,false
238151,139142,62,1,"",true,1,false
239400,101200,76,1,c1Bool,true,19,false
239711,101032,63,1,"",true,37,false
160516,101156,62,1,"",true,2,false
160196,101009,49,1,"",true,1,false
160262,101045,68,1,"",true,40,false
160359,101087,80,1,"",true,43,false
160338,101085,73,1,"",true,37,false
168257,97858,83,1,"",true,40,false
160406,100991,93,1,"",true,37,false
160419,101117,92,1,"",true,1,false
160080,100938,71,1,"",true,42,false
160478,101140,69,1,"",true,40,false
160491,101163,62,1,"",true,2,false
160501,101174,62,1,"",true,40,false
246003,101113,69,1,"",true,43,false
160600,101030,56,3,"",true,3,false
160322,101065,68,1,"",true,40,false
160774,101207,65,1,"",true,37,false
160620,101270,62,1,"",true,37,false
175179,101064,42,1,"",true,1,false
160221,100970,73,1,"",true,37,false
160537,101191,82,1,"",true,40,false
163569,101187,57,2,"",true,3,false
175871,101036,73,1,"",true,37,false
167557,101224,72,1,c5Bool,true,42,false
171017,101067,49,1,"",true,1,false
168237,101100,69,1,"",true,43,false
